crop_type,phase,temp (°C),humidity (%),rain (mm),wind_speed (km/h),suggestion
Rice,Harvest,29,75,5,8,"Moderate temperature with low rainfall provides good harvesting conditions. Drain fields adequately before harvest to support equipment access and prevent accidents. Ensure workers wear proper protective clothing during harvesting operations and implement proper drying procedures immediately after harvest to prevent aflatoxin development."
Sugarcane,Germination,30,80,35,6,"Warm temperature with adequate rainfall promotes good sett germination. Apply appropriate fungicidal treatments to setts before planting and ensure proper spacing to improve air circulation. Monitor for early signs of red rot disease and ensure workers wear protective gloves when handling treated planting material."
Sugarcane,Vegetative,32,78,30,8,"High temperature with moderate rainfall promotes rapid growth but also favors red rot disease. Implement trash mulching to conserve soil moisture and suppress weeds. Monitor for early signs of red rot and top borer which thrive in these conditions, and ensure workers take regular hydration breaks during hot field operations."
Sugarcane,Flowering,29,75,10,11,"Moderate temperature with low rainfall during the flowering (arrowing) stage is generally favorable. Monitor for internode borers which can be particularly damaging during this growth stage. Schedule field activities during cooler periods of the day and ensure workers have adequate hydration."
Sugarcane,Harvest,31,70,5,9,"Warm temperature with minimal rainfall provides ideal harvesting conditions. Implement appropriate fire safety measures if pre-harvest burning is practiced. Ensure workers use proper cutting tools and wear protective gloves and clothing to prevent injuries from sharp leaves and stalks."
Groundnut,Germination,29,78,30,7,"Warm temperature with adequate rainfall promotes good germination. Apply appropriate seed treatments before planting and implement proper drainage systems to prevent waterlogging. Monitor emerging seedlings for collar rot which thrives in wet conditions and can cause significant stand loss."
Groundnut,Vegetative,31,80,35,8,"Warm temperature with substantial rainfall creates favorable conditions for leaf spot diseases. Implement ridge planting to improve drainage and apply preventive fungicides before rainfall events. Monitor for early leaf spot symptoms and implement control measures promptly. Ensure workers wear appropriate PPE during chemical applications."
Groundnut,Flowering,33,75,15,9,"High temperature during flowering may impact pollination. Apply light irrigation during early morning hours to reduce heat stress and monitor for leaf miner and thrips which can damage flowers. Ensure workers wear proper PPE during pesticide applications and schedule field activities during cooler periods of the day."
Groundnut,Harvest,30,72,8,10,"Moderate temperature with minimal rainfall provides good harvesting conditions. Implement proper drying procedures immediately after harvest to prevent aflatoxin development. Train workers on proper lifting techniques and provide adequate hydration during harvesting operations to prevent heat-related illness."
Black Gram,Germination,28,80,35,5,"Warm temperature with adequate rainfall promotes uniform germination. Implement proper drainage channels to prevent waterlogging and seed rot. Apply appropriate seed treatments before planting and monitor emerging seedlings for damping-off disease which thrives in wet conditions."
Black Gram,Vegetative,30,80,35,7,"Warm temperature with adequate rainfall promotes vigorous growth but increases risk of yellow mosaic virus. Monitor for whitefly which vectors this disease and implement appropriate control measures. Train workers to recognize early disease symptoms and maintain field sanitation by removing infected plants promptly."
Black Gram,Flowering,31,75,15,8,"Warm temperature with moderate humidity during flowering is generally favorable. Monitor for pod borers which can be particularly damaging during this growth stage. Apply appropriate insecticides during cooler parts of day and ensure workers wear protective equipment during chemical applications."
Black Gram,Harvest,28,70,5,9,"Moderate temperature with low rainfall provides ideal harvesting conditions. Schedule harvesting during early morning hours to prevent pod shattering in hot conditions. Ensure proper drying facilities are available and monitor weather forecasts to avoid unexpected rainfall during drying period."
Green Gram,Germination,29,79,30,6,"Warm temperature with adequate rainfall promotes quick germination. Implement proper drainage channels to prevent waterlogging and seed rot. Apply appropriate seed treatments before planting and monitor for seedling diseases which can cause significant stand loss in wet conditions."
Green Gram,Vegetative,30,78,32,7,"Warm temperature with adequate rainfall promotes vigorous vegetative growth. Monitor for yellow mosaic virus which is vectored by whitefly and can severely impact yield. Train workers to recognize early disease symptoms and implement appropriate control measures promptly following safety guidelines."
Green Gram,Flowering,31,74,12,8,"Warm temperature with moderate humidity during flowering is generally favorable. Monitor for pod borers which can be particularly damaging during this growth stage. Apply appropriate insecticides during cooler parts of day and ensure workers wear protective equipment during chemical applications."
Green Gram,Harvest,29,68,3,10,"Moderate temperature with low rainfall provides ideal harvesting conditions. Schedule harvesting during early morning hours to prevent pod shattering in hot conditions. Implement proper drying procedures immediately after harvest and ensure adequate storage facilities with proper ventilation."
Cotton,Germination,30,78,25,7,"Warm temperature with adequate rainfall promotes uniform germination. Apply appropriate seed treatments before planting and monitor for seedling diseases which can cause damping-off. Ensure proper spacing to reduce competition and improve air circulation as plants develop."
Cotton,Vegetative,32,75,30,8,"Warm temperature with adequate rainfall promotes vigorous vegetative growth. Monitor for sucking pests like aphids and jassids which can severely impact early growth. Implement IPM strategies and ensure workers are properly trained in pest identification and safe pesticide application techniques."
Cotton,Flowering,34,68,5,11,"High temperature with low rainfall during flowering requires irrigation management. Apply supplemental irrigation focusing on early morning or late evening to reduce evaporation. Monitor for bollworms and sucking pests which thrive in these conditions and ensure pesticide applicators wear full protective gear."
Cotton,Harvest,31,65,0,9,"Warm dry conditions are ideal for harvesting operations. Ensure workers wear appropriate protective clothing to prevent skin irritation from cotton fibers and implement proper ergonomic practices to prevent back injuries during manual harvesting. Monitor for quality issues and maintain clean collection methods."
Sorghum,Germination,29,78,28,6,"Warm temperature with adequate rainfall promotes good germination. Apply appropriate seed treatments before planting and implement proper drainage systems to prevent waterlogging. Monitor emerging seedlings for shoot fly which can cause significant damage to young plants."
Sorghum,Vegetative,31,76,25,8,"Warm temperature with adequate rainfall promotes good vegetative growth. Monitor for fall armyworm which can cause severe defoliation and implement appropriate control measures. Ensure workers wear appropriate protective equipment during chemical applications and adhere to reentry intervals."
Sorghum,Flowering,32,73,10,13,"Warm temperature with moderate rainfall during flowering stage is generally favorable. Monitor for grain midge and head bugs which can damage developing grains. Implement appropriate pest management strategies and ensure workers follow proper mixing and application procedures for pesticides."
Sorghum,Harvest,30,68,5,10,"Moderate temperature with low rainfall provides good harvesting conditions. Monitor for bird damage as grains mature and implement appropriate deterrent measures. Ensure proper drying facilities are available after harvest to prevent mold development and maintain grain quality."
Pearl Millet,Germination,30,77,25,5,"Warm temperature with adequate rainfall promotes uniform germination. Apply appropriate seed treatments before planting and implement proper field drainage. Monitor emerging seedlings for shoot fly which can cause significant damage to young plants in the early stages."
Pearl Millet,Vegetative,31,75,22,7,"Warm temperature with adequate rainfall promotes vigorous vegetative growth. Monitor for downy mildew which can severely impact yield if established early. Implement appropriate fungicide program and ensure workers wear proper protective equipment during application."
Pearl Millet,Flowering,32,73,10,13,"Warm temperature with moderate rainfall during flowering stage is generally favorable. Monitor for downy mildew and smut diseases which can appear during this growth stage. Ensure workers follow proper mixing and application procedures for fungicides and maintain appropriate reentry intervals."
Pearl Millet,Harvest,29,65,3,9,"Moderate temperature with low rainfall provides ideal harvesting conditions. Schedule harvesting when grain moisture content is appropriate to minimize losses. Implement proper drying procedures immediately after harvest and ensure adequate storage facilities with proper ventilation."
Finger Millet,Germination,28,80,30,5,"Warm temperature with adequate rainfall promotes good germination. Prepare fine seedbeds and apply appropriate seed treatments before planting. Monitor for early weed competition which can severely impact the slow initial growth of finger millet seedlings."
Finger Millet,Vegetative,29,80,40,6,"Warm temperature with significant rainfall promotes good vegetative growth. Implement adequate drainage systems to prevent waterlogging and monitor for blast disease which thrives in humid conditions. Train workers on safe handling of agricultural chemicals and ensure proper protective equipment is available."
Finger Millet,Flowering,30,75,15,8,"Warm temperature with moderate humidity during flowering stage is generally favorable. Monitor for blast disease which can affect panicles and implement appropriate fungicide program. Ensure workers wear appropriate protective equipment during chemical applications and adhere to reentry intervals."
Finger Millet,Harvest,28,70,5,7,"Moderate temperature with low rainfall provides good harvesting conditions. Schedule harvesting when panicles are fully mature but before shattering occurs. Implement proper drying procedures immediately after harvest and ensure adequate storage facilities with proper ventilation."
Coconut,Germination,30,80,25,6,"Warm temperature with adequate moisture is favorable for seednut germination. Plant seednuts in well-drained sandy loam soil and maintain appropriate moisture levels. Protect germinating seednuts from rodent damage and monitor for seedling diseases which can cause early losses."
Coconut,Vegetative,31,78,30,8,"Warm temperature with adequate rainfall promotes good vegetative growth. Monitor for rhinoceros beetle which can damage young palms and implement appropriate pheromone traps. Ensure adequate nutrition through balanced fertilizer application and train workers on safe application methods."
Coconut,Flowering,33,76,15,10,"High temperature with moderate humidity during flowering may impact pollination. Monitor for rhinoceros beetle which can damage inflorescences and implement appropriate pheromone traps. Ensure workers use proper harness and safety equipment when climbing trees for pest management activities."
Coconut,Harvest,32,72,5,9,"Warm temperature with low rainfall provides ideal harvesting conditions. Implement proper harness and safety equipment for tree climbing and train workers in safe climbing practices. Schedule harvesting during cooler morning hours and ensure proper post-harvest handling procedures to maintain quality."
Banana,Germination,29,82,30,5,"Warm temperature with high humidity is favorable for sucker establishment. Select disease-free planting material and treat with appropriate fungicides before planting. Ensure proper spacing to promote good growth and implement adequate drainage systems to prevent waterlogging."
Banana,Vegetative,30,80,35,6,"Warm temperature with adequate rainfall promotes vigorous vegetative growth. Monitor for Sigatoka leaf spot which thrives in humid conditions and implement appropriate fungicide program. Ensure workers wear proper protective equipment during chemical applications and sanitize tools between plants."
Banana,Flowering,31,78,20,7,"Warm temperature with high humidity during flowering/bunch emergence is generally favorable. Implement bunch covering with appropriate materials to protect developing fruits from pests and sunburn. Train workers on proper bunch management techniques and ensure proper support for heavy bunches."
Banana,Harvest,30,75,5,8,"Moderate temperature with low rainfall provides ideal harvesting conditions. Implement careful bunch handling procedures to prevent physical damage and subsequent disease. Ensure workers use proper lifting techniques and protective gloves to prevent injuries and skin irritation from plant sap."
Tapioca,Germination,30,78,25,6,"Warm temperature with adequate moisture is favorable for stake sprouting. Select disease-free planting material and treat with appropriate fungicides before planting. Ensure proper orientation of stakes during planting and maintain adequate soil moisture for uniform sprouting."
Tapioca,Vegetative,31,76,30,7,"Warm temperature with adequate rainfall promotes vigorous vegetative growth. Monitor for mosaic virus which can be devastating if established early and implement appropriate vector control measures. Ensure proper weed management to reduce competition and train workers on safe herbicide application techniques."
Tapioca,Flowering,30,75,20,8,"Warm temperature with adequate moisture is favorable for flowering, though typically not significant for yield. Monitor for spider mites which thrive in warm conditions and can severely defoliate plants. Ensure workers wear appropriate protective equipment during chemical applications and adhere to reentry intervals."
Tapioca,Harvest,30,70,5,7,"Moderate temperature with low rainfall provides good harvesting conditions. Implement proper soil loosening techniques before extraction to prevent tuber damage and breakage. Train workers on proper lifting techniques to prevent back injuries during manual harvesting operations."
Turmeric,Germination,28,82,35,5,"Warm temperature with high humidity is favorable for rhizome sprouting. Treat rhizomes with appropriate fungicides before planting and plant in raised beds to ensure good drainage. Monitor for rhizome rot which can occur in overly wet conditions and cause significant stand loss."
Turmeric,Vegetative,29,80,40,6,"Warm temperature with adequate rainfall promotes vigorous vegetative growth. Implement mulching to conserve soil moisture and suppress weeds. Monitor for leaf spot diseases which thrive in humid conditions and implement appropriate fungicide program following safety guidelines."
Turmeric,Flowering,29,78,30,7,"Warm temperature with adequate moisture is favorable for flowering, though typically not significant for yield. Continue monitoring for leaf spot diseases and implement appropriate control measures. Ensure workers rotate tasks to minimize continuous exposure to wet foliage and potential disease transfer."
Turmeric,Harvest,29,72,5,6,"Moderate temperature with low rainfall provides ideal harvesting conditions. Implement proper soil loosening techniques before extraction to prevent rhizome damage. Ensure workers use appropriate tools and techniques to minimize physical strain during harvesting operations."
Chilli,Germination,29,80,25,5,"Warm temperature with adequate moisture is favorable for seed germination. Apply appropriate seed treatments before planting and implement proper drainage systems. Monitor emerging seedlings for damping-off disease which can cause significant stand loss in densely planted seedbeds."
Chilli,Vegetative,31,75,20,7,"Warm temperature with adequate moisture promotes vigorous vegetative growth. Monitor for thrips and mites which can severely impact early growth and implement appropriate control measures. Ensure workers wear appropriate protective equipment during chemical applications and adhere to reentry intervals."
Chilli,Flowering,33,70,8,9,"High temperature with moderate humidity requires attention to irrigation management. Monitor for thrips and mites which thrive in hot conditions and can significantly impact yield and quality. Apply supplemental irrigation during cooler hours and ensure adequate pollination for fruit set."
Chilli,Harvest,32,68,3,8,"Warm temperature with low humidity provides ideal harvesting conditions. Ensure workers wear appropriate protective equipment including masks during harvest to prevent respiratory irritation from capsaicin. Implement proper drying procedures immediately after harvest and monitor for quality issues."
Tomato,Germination,28,78,25,6,"Warm temperature with adequate moisture is favorable for seed germination. Prepare well-drained seedbeds and apply appropriate seed treatments before planting. Monitor emerging seedlings for damping-off disease which can cause significant losses in densely planted seedbeds."
Tomato,Vegetative,30,75,20,7,"Warm temperature with adequate moisture promotes vigorous vegetative growth. Implement proper staking or trellising to improve air circulation and reduce disease pressure. Monitor for early blight which can develop under these conditions and train workers on proper pruning techniques."
Tomato,Flowering,32,70,10,8,"Warm temperature during flowering may impact pollination and fruit set. Apply hormone treatments to improve fruit setting during high temperature periods and install shade cloth during peak heat hours. Monitor for fruit borers which can damage developing fruits and implement appropriate control measures."
Tomato,Harvest,31,68,5,7,"Warm temperature with low humidity provides good harvesting conditions. Train workers on proper harvesting techniques to prevent fruit damage and subsequent disease entry. Implement appropriate post-harvest handling to maintain fruit quality and minimize losses during transportation."
Brinjal,Germination,29,80,25,5,"Warm temperature with adequate moisture is favorable for seed germination. Prepare well-drained seedbeds and apply appropriate seed treatments before planting. Monitor emerging seedlings for damping-off disease which can cause significant losses in densely planted seedbeds."
Brinjal,Vegetative,30,78,20,6,"Warm temperature with adequate moisture promotes vigorous vegetative growth. Implement proper spacing to improve air circulation and reduce disease pressure. Monitor for shoot and fruit borer which can severely impact production and implement appropriate control measures following safety guidelines."
Brinjal,Flowering,33,72,10,8,"High temperature during flowering may impact pollination and fruit set. Apply light irrigation during early morning hours to reduce heat stress and monitor for flower drop. Ensure adequate pollinator activity for proper fruit set and implement appropriate pest management strategies."
Brinjal,Harvest,32,70,5,7,"Warm temperature with low humidity provides good harvesting conditions. Train workers on proper harvesting techniques to prevent fruit damage and implement appropriate post-harvest handling. Ensure workers wear protective gloves to prevent skin irritation from plant thorns during harvest operations."
Onion,Germination,28,75,20,6,"Moderate temperature with adequate moisture is favorable for seed germination. Prepare fine seedbeds and apply appropriate seed treatments before planting. Monitor emerging seedlings for damping-off disease which can cause significant losses in densely planted seedbeds."
Onion,Vegetative,30,70,15,8,"Warm temperature with moderate humidity promotes good vegetative growth. Monitor for thrips which can severely impact yield and implement appropriate control measures. Ensure workers wear appropriate protective equipment during chemical applications and adhere to reentry intervals."
Onion,Flowering,32,65,5,10,"Warm temperature with low humidity during bolting/flowering stage (for seed production) is generally favorable. Monitor for thrips and purple blotch which can damage developing seed stalks. Implement appropriate support for tall seed stalks to prevent lodging and subsequent quality issues."
Onion,Harvest,31,60,0,9,"Warm dry conditions are ideal for harvesting operations. Schedule harvesting when tops begin to fall over and implement proper field curing before storage. Train workers on proper lifting techniques to prevent back injuries during manual harvesting operations."
Maize,Germination,29,78,30,6,"Warm temperature with adequate rainfall promotes uniform germination. Apply appropriate seed treatments before planting and implement proper drainage systems to prevent waterlogging. Monitor emerging seedlings for fall armyworm which can cause significant early damage to the crop."
Maize,Vegetative,31,75,25,8,"Warm temperature with adequate rainfall promotes vigorous vegetative growth. Monitor for fall armyworm which can cause severe defoliation and implement appropriate control measures. Ensure proper nitrogen levels to support robust growth and train workers on safe application of agricultural chemicals."
Maize,Flowering,33,70,10,10,"High temperature during tasseling and silking may impact pollination. Apply supplemental irrigation during cooler hours to reduce heat stress and ensure good pollen viability. Monitor for corn earworm which can directly damage developing ears and implement appropriate control measures."
Maize,Harvest,30,65,5,9,"Moderate temperature with low humidity provides good harvesting conditions. Monitor grain moisture content to determine optimal harvest timing and implement proper drying procedures immediately after harvest. Ensure proper storage facilities with adequate ventilation to prevent mold development."
Okra,Germination,30,78,25,5,"Warm temperature with adequate moisture is favorable for seed germination. Apply appropriate seed treatments before planting and implement proper drainage systems. Monitor emerging seedlings for damping-off disease which can cause significant stand loss in wet conditions."
Okra,Vegetative,31,75,20,7,"Warm temperature with adequate moisture promotes vigorous vegetative growth. Monitor for yellow vein mosaic virus which is vectored by whitefly and can severely impact yield. Implement appropriate vector control measures and train workers on safe pesticide application techniques."
Okra,Flowering,33,72,10,8,"High temperature during flowering is generally favorable for okra. Monitor for fruit borers which can damage developing fruits and implement appropriate control measures. Ensure workers wear appropriate protective equipment during chemical applications and adhere to reentry intervals."
Okra,Harvest,32,70,5,7,"Warm temperature with low humidity provides good harvesting conditions. Schedule frequent harvests (every 2-3 days) to prevent fruits from becoming fibrous and losing quality. Ensure workers wear protective gloves to prevent skin irritation from plant trichomes during harvest operations."
Mango,Germination,30,80,25,6,"Warm temperature with adequate moisture is favorable for seed germination (for rootstock production). Prepare well-drained growing media and monitor for damping-off disease which can cause significant losses in young seedlings. Implement appropriate shade management for optimal growth."
Mango,Vegetative,31,75,20,8,"Warm temperature with adequate moisture promotes good vegetative growth. Monitor for hoppers which can damage new flushes and implement appropriate control measures. Ensure workers wear appropriate protective equipment during chemical applications and adhere to reentry intervals."
Mango,Flowering,29,70,5,10,"Moderate temperature with low humidity during flowering is favorable for good fruit set. Monitor for hoppers and midges which can damage inflorescences and implement appropriate control measures. Ensure proper pollinator activity for optimal fruit set and apply appropriate fungicides to prevent blossom blight."
Mango,Harvest,32,75,10,9,"Warm temperature with moderate humidity requires careful harvest timing to maximize quality. Implement proper harvesting tools and techniques to prevent fruit damage and latex burns. Ensure workers use proper ladders and fall protection equipment when harvesting from taller trees."
Banana,Germination,28,85,40,5,"Warm temperature with high humidity is favorable for sucker establishment. Select disease-free planting material and treat with appropriate fungicides before planting. Ensure proper spacing to promote good growth and implement adequate drainage systems to prevent waterlogging."
Banana,Vegetative,29,82,45,6,"Warm temperature with significant rainfall promotes vigorous vegetative growth but increases disease pressure. Monitor for Sigatoka leaf spot and implement appropriate fungicide program. Train workers on proper pruning techniques to remove infected leaves and sanitize tools between plants."
Banana,Flowering,30,78,25,7,"Warm temperature with high humidity during bunch emergence is generally favorable. Implement bunch covering with appropriate materials to protect developing fruits from pests and sunburn. Remove male buds to prevent disease spread by insects and train workers on proper bunch management techniques."
Banana,Harvest,29,75,10,8,"Moderate temperature with moderate humidity requires careful harvest timing to maximize quality. Implement careful bunch handling procedures to prevent physical damage and subsequent disease. Ensure workers use proper lifting techniques and protective gloves to prevent injuries."
Papaya,Germination,29,80,25,5,"Warm temperature with adequate moisture is favorable for seed germination. Prepare well-drained growing media and monitor for damping-off disease which can cause significant losses in young seedlings. Implement appropriate shade management for optimal early growth."
Papaya,Vegetative,30,78,20,7,"Warm temperature with adequate moisture promotes vigorous vegetative growth. Monitor for mites which can severely impact young plants and implement appropriate control measures. Ensure proper irrigation management to prevent root diseases and train workers on safe pesticide application techniques."
Papaya,Flowering,31,75,15,8,"Warm temperature during flowering is generally favorable. Monitor for papaya ringspot virus which can be devastating if established and implement appropriate vector control measures. Ensure proper pollination for dioecious varieties and implement appropriate fertilizer program for good fruit set."
Papaya,Harvest,30,72,5,7,"Moderate temperature with low humidity provides good harvesting conditions. Implement proper harvesting tools and techniques to prevent fruit damage and latex burns. Train workers on proper lifting techniques and use of protective gloves to prevent skin irritation from latex."
Watermelon,Germination,30,78,20,6,"Warm temperature with adequate moisture is favorable for seed germination. Apply appropriate seed treatments before planting and implement proper drainage systems. Monitor emerging seedlings for damping-off disease and cucumber beetles which can cause significant early damage."
Watermelon,Vegetative,31,75,15,8,"Warm temperature with moderate humidity promotes vigorous vine growth. Implement proper spacing to improve air circulation and reduce disease pressure. Monitor for downy mildew which can develop under humid conditions and train workers on safe pesticide application techniques."
Watermelon,Flowering,32,70,10,9,"Warm temperature during flowering requires attention to pollinator activity. Avoid pesticide applications during peak pollinator activity hours and monitor for fruit flies which can damage developing fruits. Ensure adequate bee populations for proper pollination and fruit set."
Watermelon,Harvest,33,65,0,8,"Warm dry conditions are ideal for harvesting operations. Train workers on proper harvesting techniques to prevent fruit damage and bruising. Implement appropriate post-harvest handling procedures to maintain fruit quality and minimize losses during transportation."
Sapota,Germination,29,80,30,5,"Warm temperature with adequate moisture is favorable for seed germination (for rootstock production). Prepare well-drained growing media and implement appropriate shade management for optimal germination. Monitor for damping-off disease which can cause significant losses in young seedlings."
Sapota,Vegetative,30,78,25,7,"Warm temperature with adequate moisture promotes good vegetative growth. Monitor for leaf webbers which can damage new flushes and implement appropriate control measures. Ensure workers wear appropriate protective equipment during chemical applications and adhere to reentry intervals."
Sapota,Flowering,31,75,15,8,"Warm temperature during flowering is generally favorable. Monitor for fruit flies which can damage developing fruits and implement appropriate control measures. Ensure proper pollinator activity for optimal fruit set and apply appropriate fungicides to prevent blossom blight."
Sapota,Harvest,30,70,5,7,"Moderate temperature with low humidity provides good harvesting conditions. Train workers on proper harvesting techniques to identify mature fruits which don't show obvious visual ripening cues. Implement appropriate post-harvest ripening procedures to maximize quality."
Guava,Germination,29,78,25,6,"Warm temperature with adequate moisture is favorable for seed germination. Prepare well-drained growing media and implement appropriate shade management for optimal germination. Monitor for damping-off disease which can cause significant losses in young seedlings."
Guava,Vegetative,30,75,20,8,"Warm temperature with adequate moisture promotes good vegetative growth. Monitor for tea mosquito bug which can damage new flushes and implement appropriate control measures. Ensure workers wear appropriate protective equipment during chemical applications and adhere to reentry intervals."
Guava,Flowering,31,73,10,9,"Warm temperature during flowering is generally favorable. Monitor for fruit flies which can damage developing fruits and implement appropriate control measures. Ensure proper pollinator activity for optimal fruit set and implement appropriate fertilizer program for good production."
Guava,Harvest,30,70,5,8,"Moderate temperature with low humidity provides good harvesting conditions. Implement proper harvesting tools and techniques to prevent fruit damage. Train workers on proper identification of mature fruits and appropriate post-harvest handling procedures to maximize quality."
Red Gram,Germination,29,78,25,6,"Warm temperature with adequate rainfall promotes good germination. Apply appropriate seed treatments before planting and implement proper drainage systems to prevent waterlogging. Monitor emerging seedlings for collar rot which thrives in wet conditions and can cause significant stand loss."
Red Gram,Vegetative,30,75,20,8,"Warm temperature with adequate moisture promotes vigorous vegetative growth. Monitor for leaf webbers which can damage growing tips and implement appropriate control measures. Ensure workers wear appropriate protective equipment during chemical applications and adhere to reentry intervals."
Red Gram,Flowering,31,70,10,10,"Warm temperature during flowering is generally favorable. Monitor for pod borers which can be particularly damaging during this growth stage. Apply appropriate insecticides during cooler parts of day and ensure workers wear protective equipment during chemical applications."
Red Gram,Harvest,28,65,0,9,"Moderate temperature with low humidity provides ideal harvesting conditions. Schedule harvesting when pods are fully mature but before excessive shattering occurs. Implement proper drying procedures immediately after harvest and ensure adequate storage facilities with proper ventilation."
Ragi,Germination,28,78,25,5,"Warm temperature with adequate rainfall promotes good germination. Prepare fine seedbeds and apply appropriate seed treatments before planting. Monitor for early weed competition which can severely impact the slow initial growth of ragi seedlings."
Ragi,Vegetative,29,75,30,7,"Warm temperature with adequate rainfall promotes good vegetative growth. Implement adequate drainage systems to prevent waterlogging and monitor for blast disease which thrives in humid conditions. Train workers on safe handling of agricultural chemicals and ensure proper protective equipment is available."
Ragi,Flowering,30,72,15,9,"Warm temperature with moderate humidity during flowering stage is generally favorable. Monitor for blast disease which can affect earheads and implement appropriate fungicide program. Ensure workers wear appropriate protective equipment during chemical applications and adhere to reentry intervals."
Ragi,Harvest,28,65,5,8,"Moderate temperature with low humidity provides good harvesting conditions. Schedule harvesting when earheads are fully mature but before grain shattering occurs. Implement proper drying procedures immediately after harvest and ensure adequate storage facilities with proper ventilation."
Horse Gram,Germination,28,75,20,6,"Moderate temperature with adequate moisture is favorable for seed germination. Apply appropriate seed treatments before planting and implement proper drainage systems. Monitor emerging seedlings for root rot which can cause significant stand loss in wet conditions."
Horse Gram,Vegetative,29,73,15,8,"Warm temperature with moderate moisture promotes good vegetative growth. Monitor for leaf folder which can damage foliage and implement appropriate control measures. Ensure workers wear appropriate protective equipment during chemical applications and adhere to reentry intervals."
Horse Gram,Flowering,30,68,5,10,"Warm temperature with low humidity during flowering is generally favorable. Monitor for pod borers which can be particularly damaging during this growth stage. Apply appropriate insecticides during cooler parts of day and ensure workers wear protective equipment during chemical applications."
Horse Gram,Harvest,27,65,0,8,"Moderate temperature with low humidity provides ideal harvesting conditions. Schedule harvesting when pods are fully mature but before excessive shattering occurs. Implement proper drying procedures immediately after harvest and ensure adequate storage facilities with proper ventilation."
Little Millet,Germination,28,76,25,5,"Warm temperature with adequate rainfall promotes good germination. Prepare fine seedbeds and apply appropriate seed treatments before planting. Monitor for early weed competition which can severely impact the slow initial growth of millet seedlings."
Little Millet,Vegetative,29,74,20,7,"Warm temperature with adequate rainfall promotes good vegetative growth. Implement adequate drainage systems to prevent waterlogging and monitor for shoot fly which can cause significant damage to young plants. Train workers on safe handling of agricultural chemicals and ensure proper protective equipment is available."
Little Millet,Flowering,30,70,10,9,"Warm temperature with moderate humidity during flowering stage is generally favorable. Monitor for head smut which can affect panicles and implement appropriate control measures. Ensure workers wear appropriate protective equipment during chemical applications and adhere to reentry intervals."
Little Millet,Harvest,28,65,0,8,"Moderate temperature with low humidity provides ideal harvesting conditions. Schedule harvesting when panicles are fully mature but before grain shattering occurs. Implement proper drying procedures immediately after harvest and ensure adequate storage facilities with proper ventilation."
Kodo Millet,Germination,28,76,25,5,"Warm temperature with adequate rainfall promotes good germination. Prepare fine seedbeds and apply appropriate seed treatments before planting. Monitor for early weed competition which can severely impact the slow initial growth of millet seedlings."
Kodo Millet,Vegetative,29,74,20,7,"Warm temperature with adequate rainfall promotes good vegetative growth. Implement adequate drainage systems to prevent waterlogging and monitor for shoot fly which can cause significant damage to young plants. Train workers on safe handling of agricultural chemicals and ensure proper protective equipment is available."
Kodo Millet,Flowering,30,70,10,9,"Warm temperature with moderate humidity during flowering stage is generally favorable. Monitor for head smut which can affect panicles and implement appropriate control measures. Ensure workers wear appropriate protective equipment during chemical applications and adhere to reentry intervals."
Kodo Millet,Harvest,28,65,0,8,"Moderate temperature with low humidity provides ideal harvesting conditions. Schedule harvesting when panicles are fully mature but before grain shattering occurs. Implement proper drying procedures immediately after harvest and ensure adequate storage facilities with proper ventilation."
Drumstick,Germination,30,78,20,6,"Warm temperature with adequate moisture is favorable for seed germination. Apply appropriate seed treatments before planting and implement proper drainage systems. Monitor emerging seedlings for damping-off disease which can cause significant losses in young seedlings."
Tomato,Flowering,32,71,12,18,"Warm temperature with moderate rainfall and strong wind during flowering creates challenging conditions for pollination. Consider hand pollination during peak"
Black Gram,Germination,28,80,35,5,"Warm temperature with adequate rainfall promotes uniform germination. Implement proper drainage channels to prevent waterlogging and seed rot. Apply appropriate seed treatments before planting and monitor emerging seedlings for damping-off disease which thrives in wet conditions."
Black Gram,Vegetative,30,80,35,7,"Warm temperature with adequate rainfall promotes vigorous growth but increases risk of yellow mosaic virus. Monitor for whitefly which vectors this disease and implement appropriate control measures. Train workers to recognize early disease symptoms and maintain field sanitation by removing infected plants promptly."
Black Gram,Flowering,31,75,15,8,"Warm temperature with moderate humidity during flowering is generally favorable. Monitor for pod borers which can be particularly damaging during this growth stage. Apply appropriate insecticides during cooler parts of day and ensure workers wear protective equipment during chemical applications."
Black Gram,Harvest,28,70,5,9,"Moderate temperature with low rainfall provides ideal harvesting conditions. Schedule harvesting during early morning hours to prevent pod shattering in hot conditions. Ensure proper drying facilities are available and monitor weather forecasts to avoid unexpected rainfall during drying period."
Green Gram,Germination,29,79,30,6,"Warm temperature with adequate rainfall promotes quick germination. Implement proper drainage channels to prevent waterlogging and seed rot. Apply appropriate seed treatments before planting and monitor for seedling diseases which can cause significant stand loss in wet conditions."
Green Gram,Vegetative,30,78,32,7,"Warm temperature with adequate rainfall promotes vigorous vegetative growth. Monitor for yellow mosaic virus which is vectored by whitefly and can severely impact yield. Train workers to recognize early disease symptoms and implement appropriate control measures promptly following safety guidelines."
Green Gram,Flowering,31,74,12,8,"Warm temperature with moderate humidity during flowering is generally favorable. Monitor for pod borers which can be particularly damaging during this growth stage. Apply appropriate insecticides during cooler parts of day and ensure workers wear protective equipment during chemical applications."
